,BuildingType,ComplianceStatus,ENERGYSTARScore,Electricity(kBtu),LargestPropertyUseType,NaturalGas(kBtu),Neighborhood,NumberofBuildings,NumberofFloors,PrimaryPropertyType,PropertyGFABuilding(s),PropertyGFAParking,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SourceEUI(kBtu/sf),SteamUse(kBtu),YearBuilt,TotalEmissionGES
12,NonResidential,Compliant,39.0,1615057.0,Hotel,3205074.0,DOWNTOWN,1.0,9.0,Hotel,65009,0,104.7,6807227.0,166.5,1987163.0,1928,334.87
13,NonResidential,Compliant,56.0,14090906.0,Hotel,3990280.0,DOWNTOWN,1.0,33.0,Hotel,258352,57600,77.2,22811690.0,183.2,4731090.0,1980,675.34
14,NonResidential,Compliant,14.0,4089407.0,,2218425.0,DOWNTOWN,1.0,11.0,Hotel,67390,0,166.1,10711451.0,317.4,4403788.0,1922,486.25
15,Nonresidential COS,Compliant,,16146718.0,Library,0.0,DOWNTOWN,1.0,11.0,Other,355000,57000,46.0,16849234.0,140.8,703184.0,2004,166.84
16,NonResidential,Compliant,,5288219.0,Fitness Center/Health Club/Gym,654260.0,DOWNTOWN,1.0,6.0,Other,103911,0,79.5,10340282.0,173.7,4398022.0,1930,411.09
17,NonResidential,Compliant,30.0,21932264.0,Hotel,11339166.0,DOWNTOWN,1.0,28.0,Hotel,331281,85000,95.5,33270518.0,231.9,0.0,1983,755.12
18,NonResidential,Compliant,,3773975.0,Social/Meeting Hall,1952583.0,DOWNTOWN,1.0,5.0,Mixed Use Property,57452,0,130.2,7481768.0,278.7,1755365.0,1907,265.5
19,NonResidential,Compliant,83.0,1790665.0,,2849024.0,DOWNTOWN,1.0,10.0,Hotel,104352,0,75.2,7845112.0,119.5,3205497.0,1916,411.22
20,NonResidential,Compliant,67.0,26798906.0,Courthouse,26534856.0,DOWNTOWN,1.0,10.0,Other,540360,0,99.3,53332648.0,208.5,0.0,1916,1596.08
21,NonResidential,Compliant,,19677268.0,Other,31222797.0,DOWNTOWN,1.0,19.0,Other,385274,0,132.1,50899248.0,245.5,0.0,1985,1795.42
22,SPS-District K-12,Compliant,96.0,911659.0,K-12 School,542600.0,SOUTHEAST,1.0,2.0,K-12 School,56228,0,25.1,1454222.0,59.2,0.0,1961,35.17
23,NonResidential,Compliant,85.0,2254751.0,Hotel,1626149.0,NORTHEAST,1.0,6.0,Hotel,58006,30586,66.9,3880806.0,151.5,0.0,2001,102.08
24,NonResidential,Compliant,,4582663.0,College/University,5209084.0,DOWNTOWN,1.0,7.0,College/University,126593,0,78.3,9791557.0,158.9,0.0,1928,308.6
25,NonResidential,Compliant,,1388775.0,Automobile Dealership,0.0,DOWNTOWN,1.0,2.0,Other,67224,0,20.7,1388717.0,64.9,0.0,1930,9.68
26,NonResidential,Compliant,,532747.0,Hotel,4626617.0,EAST,1.0,8.0,Hotel,128375,30301,44.0,5159342.0,55.7,0.0,1991,249.43
27,NonResidential,Compliant,20.0,5763595.0,Hotel,5263590.0,DOWNTOWN,1.0,10.0,Hotel,133585,38281,85.5,11026945.0,183.3,0.0,2001,319.73
28,SPS-District K-12,Compliant,57.0,1933106.0,K-12 School,4350200.0,CENTRAL,1.0,1.0,K-12 School,126351,0,49.7,6283226.0,84.2,0.0,1955,244.51
29,NonResidential,Compliant,60.0,2276244.0,Hotel,2065556.0,DOWNTOWN,1.0,5.0,Hotel,52210,16200,90.5,4341706.0,194.1,0.0,1978,125.57
30,SPS-District K-12,Compliant,80.0,1709681.0,K-12 School,4678100.0,NORTH,1.0,2.0,K-12 School,160645,0,38.9,6387710.0,62.6,0.0,1949,260.37
31,SPS-District K-12,Compliant,94.0,1472609.0,K-12 School,0.0,MAGNOLIA / QUEEN ANNE,1.0,2.0,K-12 School,51582,0,26.7,1472548.0,83.8,0.0,1989,10.27
32,NonResidential,Compliant,,1353524.0,Office,2635261.0,LAKE UNION,1.0,3.0,Small- and Mid-Sized Office,87262,0,59.2,3988729.0,104.1,0.0,1906,149.39
33,NonResidential,Compliant,20.0,3266270.0,Hotel,4153630.0,NORTHEAST,1.0,4.0,Hotel,81871,0,90.6,7419765.0,178.5,0.0,1994,243.37
34,NonResidential,Compliant,77.0,272732.0,Self-Storage Facility,34000.0,NORTHEAST,1.0,2.0,"Self-Storage Facility
",126394,0,11.7,306721.0,34.0,0.0,1955,3.71
35,NonResidential,Compliant,1.0,47845869.0,,0.0,GREATER DUWAMISH,7.0,2.0,Distribution Center,714095,0,66.9,47843892.0,210.0,0.0,1961,333.54
36,SPS-District K-12,Compliant,91.0,1281965.0,K-12 School,373700.0,MAGNOLIA / QUEEN ANNE,1.0,2.0,K-12 School,54986,0,30.1,1655612.0,80.3,0.0,1990,28.78
37,SPS-District K-12,Compliant,88.0,1561983.0,K-12 School,4665500.0,NORTHEAST,1.0,2.0,K-12 School,175565,0,34.1,6227419.0,53.6,0.0,1950,258.67
38,NonResidential,Compliant,57.0,4289697.0,Office,1754334.0,BALLARD,1.0,2.0,Small- and Mid-Sized Office,94900,0,63.7,6043853.0,161.3,0.0,1961,123.08
39,NonResidential,Compliant,93.0,1226016.0,Office,911721.0,GREATER DUWAMISH,1.0,2.0,Small- and Mid-Sized Office,52554,0,36.3,2137686.0,81.6,0.0,1900,56.97
40,NonResidential,Compliant,95.0,2694187.0,K-12 School,4386042.0,NORTHWEST,1.0,3.0,K-12 School,175015,0,40.5,7080118.0,74.6,0.0,1954,251.72
41,NonResidential,Compliant,,1607511.0,Self-Storage Facility,539617.0,DOWNTOWN,1.0,3.0,"Self-Storage Facility
",70586,0,30.5,2147062.0,79.6,0.0,1911,39.87
42,NonResidential,Compliant,68.0,12308680.0,Hotel,3352459.0,DOWNTOWN,1.0,24.0,Hotel,126240,205970,44.9,15660628.0,121.0,0.0,1969,263.85
43,NonResidential,Compliant,79.0,9214222.0,Office,0.0,DOWNTOWN,1.0,5.0,Large Office,168115,0,54.3,9213841.0,170.7,0.0,1973,64.23
44,NonResidential,Compliant,,0.0,Retail Store,0.0,DOWNTOWN,1.0,2.0,Retail Store,57428,0,0.0,0.0,0.0,0.0,1920,0.0
45,NonResidential,Compliant,,3916108.0,Office,0.0,DOWNTOWN,1.0,8.0,Small- and Mid-Sized Office,59400,0,98.0,3915947.0,307.9,0.0,1910,27.3
46,NonResidential,Compliant,,5294026.0,Other - Entertainment/Public Assembly,10290141.0,DOWNTOWN,1.0,2.0,Mixed Use Property,52549,0,297.1,15583947.0,522.8,0.0,1926,583.41
47,Multifamily LR (1-4),Compliant,75.0,1448859.0,Multifamily Housing,588563.0,DOWNTOWN,1.0,4.0,Low-Rise Multifamily,48383,0,61.0,2953338.0,129.6,915977.0,1900,112.06
48,NonResidential,Compliant,46.0,5422999.0,Hotel,753040.0,DOWNTOWN,1.0,20.0,Hotel,88591,10043,69.7,6175812.0,201.1,0.0,1930,77.8
49,NonResidential,Compliant,60.0,45041634.0,Hotel,24088353.0,DOWNTOWN,1.0,34.0,Hotel,847518,146694,85.9,85357952.0,187.3,16229832.0,1982,2846.07
50,NonResidential,Compliant,99.0,3053131.0,Hotel,1987378.0,DOWNTOWN,1.0,7.0,Hotel,71150,0,87.8,5040382.0,203.3,0.0,1985,126.83
51,NonResidential,Compliant,99.0,1305729.0,Hotel,3781188.0,DOWNTOWN,1.0,7.0,Hotel,122810,0,41.4,5086863.0,65.7,0.0,1908,209.92
52,NonResidential,Compliant,86.0,3125480.0,,1862890.0,LAKE UNION,1.0,5.0,Hotel,70627,42546,70.6,4988241.0,166.6,0.0,1959,120.73
53,NonResidential,Compliant,83.0,3586563.0,Hotel,3136472.0,LAKE UNION,1.0,7.0,Hotel,115718,34735,60.8,6722886.0,131.7,0.0,2000,191.58
54,NonResidential,Compliant,84.0,3238067.0,Hotel,2776145.0,LAKE UNION,1.0,6.0,Hotel,88100,28200,68.0,6014078.0,147.8,0.0,1997,170.01
55,NonResidential,Compliant,81.0,4566435.0,Hotel,2349046.0,MAGNOLIA / QUEEN ANNE,1.0,6.0,Hotel,118858,36744,44.4,6915293.0,108.0,0.0,1998,156.59
56,NonResidential,Compliant,77.0,550355.0,K-12 School,2556597.0,EAST,1.0,3.0,K-12 School,56072,0,55.4,3106930.0,78.7,0.0,1911,139.62
57,NonResidential,Compliant,94.0,2400660.0,Hotel,2876216.0,MAGNOLIA / QUEEN ANNE,1.0,4.0,Hotel,78051,44891,67.6,5276777.0,135.3,0.0,1999,169.49
58,NonResidential,Compliant,65.0,2181293.0,Office,1323754.0,CENTRAL,1.0,2.0,Small- and Mid-Sized Office,54984,0,63.7,3504957.0,149.8,0.0,1962,85.51
59,NonResidential,Compliant,50.0,12080722.0,Senior Care Community,33414103.0,SOUTHWEST,1.0,5.0,Senior Care Community,217603,0,153.5,45494324.0,246.4,0.0,1922,1858.84
60,NonResidential,Compliant,1.0,5797976.0,Senior Care Community,10574028.0,NORTHWEST,1.0,2.0,Senior Care Community,93397,0,175.3,16371764.0,313.8,0.0,1970,602.0
61,NonResidential,Compliant,68.0,2975816.0,Hotel,1003439.0,LAKE UNION,1.0,6.0,Hotel,63371,20732,62.8,3979132.0,164.1,0.0,2008,74.04
62,SPS-District K-12,Compliant,,,K-12 School,,SOUTHWEST,1.0,2.0,K-12 School,53352,0,,,,,1948,
63,NonResidential,Compliant,48.0,9501003.0,Medical Office,9368159.0,EAST,1.0,3.0,Medical Office,179014,0,105.4,18868768.0,221.6,0.0,1965,563.78
64,NonResidential,Compliant,24.0,2784090.0,Hotel,4447953.0,EAST,1.0,7.0,Hotel,76631,0,94.4,7231928.0,175.0,0.0,1908,255.64
65,NonResidential,Compliant,,10425038.0,Medical Office,0.0,EAST,1.0,6.0,Mixed Use Property,169107,18493,201.5,15240688.0,509.3,4816083.0,1983,444.42
66,NonResidential,Compliant,95.0,376328.0,Retail Store,697867.0,LAKE UNION,1.0,2.0,Retail Store,58320,0,14.9,1074180.0,26.6,0.0,1929,39.69
67,NonResidential,Compliant,96.0,12471183.0,Office,830194.0,LAKE UNION,1.0,5.0,Large Office,316306,0,46.3,13300859.0,139.3,0.0,2010,131.03
68,NonResidential,Compliant,40.0,10638785.0,Hotel,8190794.0,LAKE UNION,1.0,7.0,Hotel,238097,44766,79.9,18829136.0,178.1,0.0,1990,509.18
69,Nonresidential COS,Compliant,,14312992.0,Other,0.0,MAGNOLIA / QUEEN ANNE,1.0,1.0,Other,129000,0,79.7,29337400.0,167.7,8560000.0,1962,760.51
70,Nonresidential COS,Compliant,,3622005.0,Other,0.0,MAGNOLIA / QUEEN ANNE,1.0,1.0,Other,91213,0,78.0,5069854.0,201.2,1270000.0,1962,123.28
71,Nonresidential COS,Compliant,,7964427.0,Other,0.0,MAGNOLIA / QUEEN ANNE,1.0,5.0,Other,396085,0,97.6,27185096.0,166.8,10951000.0,1938,900.81
72,NonResidential,Compliant,89.0,34236747.0,Office,7499452.0,LAKE UNION,1.0,12.0,Large Office,571329,0,66.8,41734776.0,184.6,0.0,2010,636.96
73,Nonresidential COS,Compliant,,1149520.0,Other,0.0,MAGNOLIA / QUEEN ANNE,1.0,2.0,Other,49680,0,50.6,2632472.0,102.4,1145000.0,1962,96.39
74,Nonresidential COS,Compliant,,925018.0,Other,0.0,MAGNOLIA / QUEEN ANNE,1.0,1.0,Other,60696,0,8.6,924980.0,26.9,0.0,1928,6.45
75,Nonresidential COS,Compliant,,13983710.0,Other,0.0,MAGNOLIA / QUEEN ANNE,1.0,2.0,Other,262048,0,70.4,20828130.0,174.1,3900000.0,1928,398.51
76,NonResidential,Compliant,,4330148.0,Office,0.0,MAGNOLIA / QUEEN ANNE,1.0,2.0,Small- and Mid-Sized Office,63888,2352,77.8,4329966.0,244.4,0.0,1986,30.19
77,NonResidential,Compliant,93.0,28483019.0,Office,8199352.0,MAGNOLIA / QUEEN ANNE,1.0,6.0,Large Office,616891,303707,49.9,36681188.0,133.3,0.0,2010,634.03
78,NonResidential,Compliant,72.0,2809470.0,Office,494199.0,MAGNOLIA / QUEEN ANNE,1.0,4.0,Small- and Mid-Sized Office,50283,25930,64.8,3303553.0,183.3,0.0,1970,45.83
79,NonResidential,Compliant,52.0,2820414.0,Hotel,2240976.0,MAGNOLIA / QUEEN ANNE,1.0,6.0,Hotel,80804,36934,84.4,5061274.0,186.9,0.0,2002,138.68
80,NonResidential,Compliant,51.0,2156751.0,Hotel,3413811.0,NORTHEAST,1.0,4.0,Hotel,50017,0,111.4,5570472.0,207.1,0.0,1962,196.34
81,SPS-District K-12,Compliant,85.0,1591795.0,K-12 School,265600.0,DELRIDGE,1.0,3.0,K-12 School,74468,0,24.9,1857329.0,70.9,0.0,1999,25.2
82,NonResidential,Compliant,43.0,1265357.0,K-12 School,1037984.0,EAST,1.0,3.0,K-12 School,67743,0,34.0,2303288.0,74.7,0.0,1923,63.95
83,NonResidential,Compliant,100.0,1795343.0,K-12 School,4094613.0,EAST,1.0,6.0,K-12 School,194104,0,30.3,5889882.0,51.2,0.0,1908,229.98
84,NonResidential,Compliant,71.0,4439217.0,Office,0.0,SOUTHEAST,1.0,3.0,Small- and Mid-Sized Office,63681,35752,69.7,4439034.0,218.9,0.0,2003,30.95
85,SPS-District K-12,Compliant,71.0,2150209.0,K-12 School,0.0,SOUTHEAST,1.0,2.0,K-12 School,58933,0,35.4,2150120.0,111.2,0.0,1991,14.99
86,SPS-District K-12,Compliant,65.0,2151598.0,K-12 School,3699700.0,GREATER DUWAMISH,1.0,1.0,K-12 School,130862,0,44.7,5851209.0,81.3,0.0,1957,211.49
87,SPS-District K-12,Compliant,94.0,1424088.0,K-12 School,97300.0,SOUTHEAST,1.0,3.0,K-12 School,59955,0,25.4,1521329.0,76.3,0.0,1989,15.1
88,SPS-District K-12,Compliant,84.0,1426258.0,K-12 School,1646400.0,MAGNOLIA / QUEEN ANNE,1.0,2.0,K-12 School,93218,0,33.0,3072599.0,66.6,0.0,1964,97.38
89,NonResidential,Compliant,,6443526.0,Other,0.0,NORTHEAST,1.0,4.0,Other,56521,0,131.5,6443260.0,412.9,0.0,1941,44.92
90,NonResidential,Compliant,,2118354.0,Other,2343703.0,NORTHEAST,1.0,2.0,Other,206934,0,37.4,4461969.0,76.5,0.0,1929,139.24
91,NonResidential,Compliant,86.0,1438855.0,Hotel,2425903.0,NORTHWEST,1.0,4.0,Hotel,51390,0,75.2,3864699.0,137.5,0.0,2001,138.87
92,SPS-District K-12,Compliant,88.0,1770594.0,K-12 School,2168700.0,NORTHWEST,1.0,2.0,K-12 School,131013,0,29.9,3939221.0,59.4,0.0,1963,127.52
93,SPS-District K-12,Compliant,95.0,3849657.0,K-12 School,6594800.0,NORTHWEST,1.0,1.0,K-12 School,245587,0,42.5,10444297.0,77.4,0.0,1959,377.09
94,NonResidential,Compliant,75.0,1880991.0,Hotel,1417657.0,NORTHWEST,1.0,3.0,Hotel,69138,0,46.7,3298570.0,104.7,0.0,2002,88.4
95,SPS-District K-12,Compliant,75.0,2033159.0,K-12 School,0.0,LAKE UNION,1.0,3.0,K-12 School,66588,0,30.5,2033074.0,95.9,0.0,1991,14.17
96,NonResidential,Compliant,97.0,4727785.0,Hotel,2208135.0,DOWNTOWN,1.0,5.0,Hotel,190980,0,36.3,6935723.0,89.9,0.0,1904,150.23
97,Nonresidential COS,Compliant,,10609812.0,Other - Entertainment/Public Assembly,436649.0,DOWNTOWN,1.0,6.0,Other,284100,0,74.7,14169301.0,197.8,3123280.0,1998,338.23
98,NonResidential,Compliant,28.0,32311985.0,Hospital (General Medical & Surgical),31051872.0,BALLARD,1.0,5.0,Hospital,285333,0,209.4,63362516.0,442.9,0.0,1954,1874.42
99,SPS-District K-12,Compliant,91.0,1613032.0,K-12 School,0.0,BALLARD,1.0,2.0,K-12 School,55513,0,28.1,1612965.0,88.4,0.0,1991,11.24
100,Nonresidential COS,Compliant,,7222692.0,Other,3211996.0,DOWNTOWN,1.0,4.0,Other,61156,0,145.0,10434387.0,361.9,0.0,2006,220.94
101,NonResidential,Compliant,,1458801.0,Museum,617890.0,DOWNTOWN,1.0,4.0,Other,72820,0,35.8,2076630.0,90.2,0.0,1910,42.99
102,NonResidential,Compliant,75.0,4415922.0,Hotel,3337341.0,MAGNOLIA / QUEEN ANNE,1.0,4.0,Hotel,148022,14200,68.2,7753080.0,152.8,0.0,1996,208.03
103,SPS-District K-12,Compliant,92.0,6126773.0,K-12 School,2621300.0,SOUTHEAST,1.0,4.0,K-12 School,289588,0,30.2,8747819.0,75.9,0.0,1990,181.93
104,NonResidential,Compliant,,1863973.0,College/University,891682.0,EAST,1.0,3.0,College/University,63330,0,42.5,2755578.0,104.7,0.0,1915,60.35
105,Campus,Compliant,,24886028.0,College/University,12545788.0,DELRIDGE,1.0,2.0,College/University,441071,0,77.5,37430780.0,189.1,0.0,1970,839.79
106,NonResidential,Compliant,,13835528.0,Office,2404032.0,NORTHEAST,1.0,2.0,Small- and Mid-Sized Office,96300,0,167.0,16238985.0,472.7,0.0,2002,224.13
107,Nonresidential COS,Compliant,,2990732.0,"Repair Services (Vehicle, Shoe, Locksmith, etc)",3586522.0,GREATER DUWAMISH,1.0,1.0,Other,67356,0,96.2,6577130.0,192.5,0.0,1950,211.33
108,SPS-District K-12,Compliant,62.0,7719861.0,K-12 School,5889500.0,CENTRAL,1.0,3.0,K-12 School,254523,0,53.5,13609040.0,119.5,0.0,2008,366.61
109,SPS-District K-12,Compliant,92.0,1659120.0,K-12 School,788600.0,SOUTHEAST,1.0,3.0,K-12 School,78804,0,31.1,2447651.0,76.6,0.0,2001,53.45
110,SPS-District K-12,Compliant,83.0,1757543.0,K-12 School,509100.0,CENTRAL,1.0,3.0,K-12 School,66994,0,33.8,2266570.0,90.4,0.0,2002,39.29
111,SPS-District K-12,Compliant,90.0,1970276.0,K-12 School,1295800.0,GREATER DUWAMISH,1.0,3.0,K-12 School,98357,0,33.2,3265995.0,76.7,0.0,2000,82.55
112,NonResidential,Compliant,,3676968.0,Office,639837.0,GREATER DUWAMISH,1.0,1.0,Small- and Mid-Sized Office,54765,0,85.0,4316654.0,240.7,0.0,1958,59.61
113,NonResidential,Compliant,,64880.0,Other - Lodging/Residential,1952816.0,GREATER DUWAMISH,1.0,5.0,Other,89821,0,22.7,2017694.0,25.3,0.0,2009,104.17
114,NonResidential,Compliant,,2782111.0,College/University,1617832.0,MAGNOLIA / QUEEN ANNE,1.0,2.0,College/University,52611,0,83.6,4399828.0,198.3,0.0,1980,105.32
115,NonResidential,Compliant,88.0,2419334.0,Residence Hall/Dormitory,1998821.0,MAGNOLIA / QUEEN ANNE,1.0,4.0,Residence Hall/Dormitory,102100,37500,32.6,4418055.0,71.5,0.0,2001,123.02
116,SPS-District K-12,Compliant,96.0,4868567.0,K-12 School,3182614.0,NORTH,1.0,2.0,K-12 School,236758,0,34.0,8050977.0,78.7,0.0,2011,202.97
117,NonResidential,Compliant,,9449227.0,Other,458359.0,CENTRAL,1.0,6.0,Other,250981,0,64.4,13901935.0,161.9,3994742.0,1971,398.56
118,SPS-District K-12,Compliant,97.0,1056512.0,K-12 School,785500.0,NORTHWEST,1.0,3.0,K-12 School,62526,0,29.5,1841968.0,66.2,0.0,2002,49.08
119,NonResidential,Compliant,19.0,2701378.0,Office,648399.0,GREATER DUWAMISH,1.0,3.0,Small- and Mid-Sized Office,64015,0,62.0,3349666.0,169.6,0.0,2007,53.27
120,NonResidential,Compliant,98.0,16867311.0,Retail Store,12200681.0,NORTH,1.0,1.0,Retail Store,530039,0,54.8,29067292.0,124.1,0.0,1951,765.56
121,NonResidential,Compliant,,3366679.0,Other/Specialty Hospital,4246577.0,NORTH,1.0,3.0,Other,54224,0,161.9,7613116.0,319.7,0.0,1964,249.01
122,NonResidential,Compliant,75.0,8758616.0,Retail Store,76850.0,NORTH,1.0,4.0,Retail Store,124342,0,72.4,8835104.0,226.1,0.0,1965,65.14
123,NonResidential,Compliant,13.0,114748139.0,Hospital (General Medical & Surgical),136448438.0,NORTHEAST,1.0,10.0,Hospital,879000,0,285.8,251191824.0,572.9,0.0,1953,8046.7
124,NonResidential,Compliant,74.0,1814177.0,Financial Office,1277457.0,NORTHWEST,1.0,3.0,Other,55442,0,82.9,3091559.0,188.8,0.0,1996,80.49
125,SPS-District K-12,Compliant,82.0,7466694.0,K-12 School,1262200.0,BALLARD,1.0,2.0,K-12 School,242795,0,36.0,8728584.0,102.0,0.0,1999,119.09
126,NonResidential,Compliant,,433875.0,Self-Storage Facility,702841.0,EAST,1.0,5.0,"Self-Storage Facility
",84870,0,13.3,1136698.0,24.6,0.0,1910,40.35
127,Campus,Compliant,,33183593.0,College/University,3934997.0,NORTHWEST,11.0,2.0,College/University,582447,111625,55.6,37117212.0,162.3,0.0,1970,440.31
128,SPS-District K-12,Compliant,72.0,1781138.0,K-12 School,5082400.0,SOUTHEAST,1.0,2.0,K-12 School,173185,0,39.6,6863464.0,63.1,0.0,1952,282.34
129,SPS-District K-12,Compliant,77.0,1914941.0,K-12 School,3083154.0,DELRIDGE,1.0,1.0,K-12 School,145341,0,35.9,4998015.0,66.5,0.0,1963,177.1
130,NonResidential,Compliant,67.0,854011.0,Non-Refrigerated Warehouse,884748.0,GREATER DUWAMISH,1.0,4.0,Non-Refrigerated Warehouse,114297,0,15.2,1738724.0,31.6,0.0,1904,52.94
131,SPS-District K-12,Compliant,89.0,2877207.0,K-12 School,5160200.0,SOUTHEAST,1.0,2.0,K-12 School,184125,0,43.7,8037287.0,78.5,0.0,1960,294.12
132,SPS-District K-12,Compliant,79.0,1936530.0,K-12 School,3738000.0,BALLARD,1.0,1.0,K-12 School,160270,0,35.4,5674450.0,62.4,0.0,1959,212.02
133,NonResidential,Compliant,82.0,1541206.0,Non-Refrigerated Warehouse,5829600.0,GREATER DUWAMISH,1.0,1.0,Non-Refrigerated Warehouse,234144,0,31.5,7370743.0,46.8,0.0,1937,320.35
134,NonResidential,Compliant,76.0,2423136.0,Retail Store,298611.0,DELRIDGE,1.0,1.0,Retail Store,64984,0,41.6,2721646.0,121.1,0.0,1966,32.75
135,NonResidential,Compliant,31.0,3016102.0,Retail Store,6544988.0,DELRIDGE,1.0,1.0,Retail Store,67745,0,141.1,9560965.0,241.1,0.0,1965,368.63
136,SPS-District K-12,Compliant,93.0,8236429.0,K-12 School,4027600.0,DELRIDGE,1.0,2.0,K-12 School,367884,0,33.3,12263687.0,81.8,0.0,2010,271.32
137,SPS-District K-12,Compliant,86.0,852346.0,K-12 School,1059300.0,DELRIDGE,1.0,1.0,K-12 School,46797,0,40.8,1911611.0,81.0,0.0,1958,62.2
138,SPS-District K-12,Compliant,67.0,2388755.0,K-12 School,3047400.0,CENTRAL,1.0,3.0,K-12 School,136188,0,39.9,5436057.0,78.6,0.0,1963,178.5
139,NonResidential,Compliant,,858626.0,Other,896674.0,BALLARD,1.0,3.0,Other,56000,0,31.3,1755264.0,65.0,0.0,1973,53.61
140,SPS-District K-12,Compliant,92.0,1461994.0,K-12 School,613900.0,SOUTHEAST,1.0,2.0,K-12 School,67371,0,30.8,2075833.0,77.7,0.0,2004,42.8
141,NonResidential,Compliant,,509226.0,Self-Storage Facility,677596.0,SOUTHWEST,1.0,2.0,"Self-Storage Facility
",52088,0,22.8,1186800.0,44.4,0.0,1969,39.54
142,SPS-District K-12,Compliant,81.0,3615976.0,K-12 School,597900.0,LAKE UNION,1.0,3.0,K-12 School,127776,0,33.0,4213726.0,93.8,0.0,2010,56.96
143,NonResidential,Compliant,82.0,4045691.0,Hotel,4918538.0,LAKE UNION,1.0,5.0,Hotel,93920,30000,72.3,8964061.0,144.2,0.0,1998,289.43
144,Nonresidential COS,Compliant,,3644232.0,Museum,3694428.0,LAKE UNION,1.0,1.0,Other,58000,0,170.7,7338511.0,356.3,0.0,1900,221.62
145,Nonresidential COS,Compliant,,715475.0,Non-Refrigerated Warehouse,0.0,MAGNOLIA / QUEEN ANNE,1.0,2.0,Non-Refrigerated Warehouse,50292,0,13.3,715446.0,41.6,0.0,1926,4.99
146,NonResidential,Compliant,77.0,5546361.0,Hotel,5189200.0,MAGNOLIA / QUEEN ANNE,1.0,7.0,Hotel,153315,54341,75.8,10735331.0,161.5,0.0,1998,314.26
147,SPS-District K-12,Compliant,85.0,1766824.0,K-12 School,597600.0,BALLARD,1.0,2.0,K-12 School,67235,0,35.2,2364351.0,91.8,0.0,1999,44.06
148,Nonresidential COS,Compliant,40.0,6915309.0,Office,2231705.0,NORTHWEST,1.0,2.0,Small- and Mid-Sized Office,85017,0,97.0,9146727.0,255.1,0.0,1957,166.73
149,SPS-District K-12,Compliant,97.0,1181942.0,K-12 School,181100.0,SOUTHWEST,1.0,3.0,K-12 School,58118,0,23.1,1362993.0,66.1,0.0,1991,17.86
150,NonResidential,Compliant,73.0,2500329.0,Hotel,3556255.0,NORTHWEST,1.0,4.0,Hotel,64893,0,93.3,6056481.0,178.5,0.0,1968,206.3
151,SPS-District K-12,Compliant,98.0,1227341.0,K-12 School,0.0,NORTH,1.0,2.0,K-12 School,52792,0,22.1,1227290.0,69.5,0.0,1989,8.56
152,SPS-District K-12,Compliant,95.0,364295.0,K-12 School,2568723.0,GREATER DUWAMISH,1.0,1.0,K-12 School,70762,0,41.4,2933003.0,54.3,0.0,1925,138.96
